Codebase,Feature,Type,Cluster,Entities,CLIP,CRIP,CROP,CWOP,CIP,COP,CPIF,CIOF,Orchestrator
ldod-static,APIVirtualEditionController.getVirtualEditionIndex,QUERY,2,"LdoDUser, ",0.000000,1.000000,1.000000,0.000000,0.052632,0.017857,0.000000,0.017857,1
ldod-static,APIVirtualEditionController.getPublicVirtualEditions4User,QUERY,0,"AddText, AltText, AltTextWeight, AnnexNote, UnclearText, AppText, DelText, Edition, ExpertEdition, ExpertEditionInter, FragInter, Fragment, GapText, LbText, LdoD, NoteText, PbText, RdgGrpText, RdgText, RefText, Rend, SegText, SimpleText, SourceInter, SpaceText, Surface, TextPortion, ",0.000000,1.000000,1.000000,0.000000,0.434783,0.622951,0.312796,0.622951,0
ldod-static,APIVirtualEditionController.getPublicVirtualEditions4User,QUERY,2,"LdoDUser, ",0.000000,1.000000,1.000000,0.000000,0.130435,0.049180,2.431280,0.049180,0
ldod-static,APIVirtualEditionController.getPublicVirtualEditions4User,QUERY,1,"Member, Section, VirtualEdition, VirtualEditionInter, Category, Taxonomy, ",0.000000,1.000000,1.000000,0.000000,0.434783,0.327869,0.255924,0.327869,1
ldod-static,VirtualEditionController.mergeCategories,SAGA,1,"VirtualEdition, VirtualEditionInter, Category, HumanAnnotation, Tag, Taxonomy, ",0.866667,0.133333,0.266667,0.733333,0.454545,0.500000,0.347295,0.500000,0
ldod-static,VirtualEditionController.mergeCategories,SAGA,2,"LdoDUser, ",1.000000,0.000000,0.000000,1.000000,0.121212,0.066667,2.341029,0.066667,0
ldod-static,VirtualEditionController.mergeCategories,SAGA,3,"ClassificationGame, Player, ClassificationGameParticipant, ClassificationGameRound, ",0.714286,0.285714,0.384615,0.615385,0.424242,0.433333,0.311675,0.433333,1
ldod-static,FragmentController.getFragmentWithInterForUrlId,SAGA,1,"Member, Section, VirtualEdition, VirtualEditionInter, ",0.250000,0.750000,0.818182,0.181818,0.421053,0.211538,0.618557,0.211538,1
ldod-static,FragmentController.getFragmentWithInterForUrlId,SAGA,2,"LdoDUser, ",0.400000,0.600000,0.600000,0.400000,0.263158,0.096154,0.773196,0.096154,0
ldod-static,FragmentController.getFragmentWithInterForUrlId,SAGA,0,"AddText, AltText, AltTextWeight, AnnexNote, UnclearText, AppText, DelText, ExpertEdition, ExpertEditionInter, FragInter, Fragment, GapText, LbText, LdoD, NoteText, NullEdition, PbText, RdgGrpText, RdgText, RefText, Rend, SegText, SimpleText, SourceInter, SpaceText, Surface, TextPortion, ",0.000000,1.000000,1.000000,0.000000,0.315789,0.692308,1.608248,0.692308,0
ldod-static,VirtualEditionController.editVirtualEdition,SAGA,1,"Member, Section, Annotation, VirtualEdition, VirtualEditionInter, Range, Taxonomy, ",0.459459,0.540541,0.589286,0.410714,0.425287,0.430769,0.253894,0.430769,0
ldod-static,VirtualEditionController.editVirtualEdition,SAGA,0,"ExpertEdition, FragInter, Fragment, LdoD, Edition, ",0.181818,0.818182,0.846154,0.153846,0.126437,0.100000,1.206506,0.100000,0
ldod-static,VirtualEditionController.editVirtualEdition,SAGA,2,"LdoDUser, ",0.571429,0.428571,0.428571,0.571429,0.080460,0.053846,2.315517,0.053846,0
ldod-static,VirtualEditionController.editVirtualEdition,SAGA,4,"TimeWindow, Tweet, MediaSource, TwitterCitation, Frequency, SocialMediaCriteria, GeographicLocation, AwareAnnotation, Citation, InfoRange, ",0.500000,0.500000,0.574074,0.425926,0.367816,0.415385,0.224082,0.415385,1
ldod-static,VirtualEditionController.dissociate,SAGA,1,"Annotation, VirtualEdition, VirtualEditionInter, Category, HumanAnnotation, Range, Tag, Taxonomy, ",0.800000,0.200000,0.422222,0.577778,0.465116,0.562500,0.518497,0.562500,0
ldod-static,VirtualEditionController.dissociate,SAGA,2,"LdoDUser, ",0.714286,0.285714,0.285714,0.714286,0.162791,0.087500,2.427167,0.087500,0
ldod-static,VirtualEditionController.dissociate,SAGA,3,"ClassificationGame, Player, ClassificationGameParticipant, ClassificationGameRound, ",0.714286,0.285714,0.384615,0.615385,0.325581,0.325000,0.626012,0.325000,0
ldod-static,VirtualEditionController.dissociate,SAGA,0,"SimpleText, ",1.000000,0.000000,0.000000,1.000000,0.046512,0.025000,0.428324,0.025000,1
ldod-static,VirtualEditionController.getEditions,QUERY,0,"AddText, AltText, AltTextWeight, AnnexNote, UnclearText, AppText, DelText, Edition, ExpertEdition, ExpertEditionInter, FragInter, Fragment, GapText, LbText, LdoD, NoteText, PbText, RdgGrpText, RdgText, RefText, Rend, SegText, SimpleText, SourceInter, SpaceText, Surface, TextPortion, ",0.000000,1.000000,1.000000,0.000000,0.473684,0.672414,1.500000,0.672414,1
ldod-static,VirtualEditionController.getEditions,QUERY,1,"Member, Section, VirtualEdition, VirtualEditionInter, Category, Taxonomy, ",0.000000,1.000000,1.000000,0.000000,0.473684,0.310345,1.500000,0.310345,0
ldod-static,VirtualEditionController.getEditions,QUERY,2,"LdoDUser, ",0.000000,1.000000,1.000000,0.000000,0.052632,0.017241,0.000000,0.017241,0
ldod-static,FragmentController.updateAnnotation,SAGA,1,"Member, Section, Annotation, VirtualEdition, VirtualEditionInter, Category, HumanAnnotation, Range, Tag, Taxonomy, ",0.470588,0.529412,0.671875,0.328125,0.459459,0.695652,1.087126,0.695652,0
ldod-static,FragmentController.updateAnnotation,SAGA,2,"LdoDUser, ",0.333333,0.666667,0.666667,0.333333,0.324324,0.130435,1.997399,0.130435,0
ldod-static,FragmentController.updateAnnotation,SAGA,3,"ClassificationGame, Player, ClassificationGameParticipant, ClassificationGameRound, ",0.714286,0.285714,0.384615,0.615385,0.189189,0.141304,0.915475,0.141304,1
ldod-static,FragmentController.updateAnnotation,SAGA,0,"ExpertEdition, LdoD, Edition, ",0.000000,1.000000,1.000000,0.000000,0.027027,0.032609,0.000000,0.032609,0
ldod-static,SignupController.signup,SAGA,0,"LdoD, ",0.461538,0.538462,0.538462,0.461538,0.162500,0.095588,1.945058,0.095588,0
ldod-static,SignupController.signup,SAGA,2,"LdoDUser, RegistrationToken, Role, UserConnection, ",0.620690,0.379310,0.488372,0.511628,0.362500,0.316176,0.631513,0.316176,0
ldod-static,SignupController.signup,SAGA,1,"Member, Annotation, VirtualEdition, VirtualEditionInter, Category, HumanAnnotation, Range, Tag, Taxonomy, RecommendationWeights, ",0.857143,0.142857,0.302326,0.697674,0.262500,0.316176,0.671929,0.316176,0
ldod-static,SignupController.signup,SAGA,3,"ClassificationGame, Player, ClassificationGameParticipant, ClassificationGameRound, ",0.705882,0.294118,0.432432,0.567568,0.212500,0.272059,0.751500,0.272059,1
ldod-static,VirtualEditionController.associateCategory,SAGA,1,"Member, Section, Annotation, VirtualEdition, VirtualEditionInter, Category, HumanAnnotation, Range, Tag, Taxonomy, ",0.642857,0.357143,0.571429,0.428571,0.466667,0.646154,0.255954,0.646154,0
ldod-static,VirtualEditionController.associateCategory,SAGA,2,"LdoDUser, ",0.538462,0.461538,0.461538,0.538462,0.216667,0.100000,0.854557,0.100000,0
ldod-static,VirtualEditionController.associateCategory,SAGA,0,"ExpertEdition, FragInter, SimpleText, LdoD, Edition, ",0.400000,0.600000,0.714286,0.285714,0.083333,0.053846,2.563671,0.053846,1
ldod-static,VirtualEditionController.associateCategory,SAGA,3,"ClassificationGame, Player, ClassificationGameParticipant, ClassificationGameRound, ",0.714286,0.285714,0.384615,0.615385,0.233333,0.200000,0.325818,0.200000,0
ldod-static,AdminController.removeUser,SAGA,2,"LdoDUser, RegistrationToken, Role, UserConnection, ",0.571429,0.428571,0.517241,0.482759,0.333333,0.256637,1.159011,0.256637,0
ldod-static,AdminController.removeUser,SAGA,1,"Member, Annotation, VirtualEdition, VirtualEditionInter, Category, HumanAnnotation, Range, Tag, Taxonomy, RecommendationWeights, ",0.857143,0.142857,0.302326,0.697674,0.333333,0.380531,1.074205,0.380531,0
ldod-static,AdminController.removeUser,SAGA,3,"ClassificationGame, Player, ClassificationGameParticipant, ClassificationGameRound, ",0.705882,0.294118,0.432432,0.567568,0.269841,0.327434,1.201414,0.327434,0
ldod-static,AdminController.removeUser,SAGA,0,"LdoD, ",0.750000,0.250000,0.250000,0.750000,0.063492,0.035398,0.565371,0.035398,1
ldod-static,AdminController.loadVirtualFragments,SAGA,2,"LdoDUser, ",0.375000,0.625000,0.625000,0.375000,0.181818,0.089385,1.148637,0.089385,0
ldod-static,AdminController.loadVirtualFragments,SAGA,3,"ClassificationGame, Player, ClassificationGameParticipant, ClassificationGameRound, ",0.900000,0.100000,0.277778,0.722222,0.113636,0.100559,0.858177,0.100559,1
ldod-static,AdminController.loadVirtualFragments,SAGA,0,"ExpertEdition, ExpertEditionInter, FragInter, Fragment, NullEdition, SimpleText, SourceInter, Heteronym, LdoD, LdoDDate, Edition, ",0.333333,0.666667,0.821429,0.178571,0.340909,0.312849,1.188245,0.312849,0
ldod-static,AdminController.loadVirtualFragments,SAGA,1,"Section, Annotation, VirtualEdition, VirtualEditionInter, Category, HumanAnnotation, Range, Tag, Taxonomy, ",0.656250,0.343750,0.539326,0.460674,0.363636,0.497207,0.804940,0.497207,0
ldod-static,AdminController.exportVirtualEditions,QUERY,0,"FragInter, Fragment, LdoD, Edition, ",0.000000,1.000000,1.000000,0.000000,0.271186,0.195876,0.757701,0.195876,0
ldod-static,AdminController.exportVirtualEditions,QUERY,2,"LdoDUser, RegistrationToken, Role, UserConnection, ",0.000000,1.000000,1.000000,0.000000,0.220339,0.154639,1.437019,0.154639,0
ldod-static,AdminController.exportVirtualEditions,QUERY,3,"Player, ClassificationGame, ClassificationGameParticipant, ClassificationGameRound, ",0.000000,1.000000,1.000000,0.000000,0.152542,0.164948,2.351485,0.164948,0
ldod-static,AdminController.exportVirtualEditions,QUERY,1,"Member, Section, Annotation, VirtualEdition, VirtualEditionInter, Category, HumanAnnotation, Range, Tag, Taxonomy, ",0.000000,1.000000,1.000000,0.000000,0.338983,0.432990,0.453795,0.432990,0
ldod-static,AdminController.exportVirtualEditions,QUERY,4,"TimeWindow, MediaSource, Frequency, SocialMediaCriteria, GeographicLocation, ",0.000000,1.000000,1.000000,0.000000,0.016949,0.051546,0.000000,0.051546,1
ldod-static,RecommendationController.createSectionVirtualEdition,SAGA,2,"LdoDUser, ",0.722222,0.277778,0.277778,0.722222,0.097297,0.047244,1.475856,0.047244,0
ldod-static,RecommendationController.createSectionVirtualEdition,SAGA,0,"AnnexNote, NoteText, NullEdition, PbText, RdgText, Edition, ExpertEdition, RefText, ExpertEditionInter, FragInter, Fragment, Source, SourceInter, Heteronym, LbText, LdoD, LdoDDate, ",0.557692,0.442308,0.614173,0.385827,0.281081,0.333333,0.407349,0.333333,0
ldod-static,RecommendationController.createSectionVirtualEdition,SAGA,1,"Member, Section, Annotation, VirtualEdition, VirtualEditionInter, Category, HumanAnnotation, Range, Tag, Taxonomy, RecommendationWeights, ",0.722892,0.277108,0.448276,0.551724,0.448649,0.456693,0.192937,0.456693,0
ldod-static,RecommendationController.createSectionVirtualEdition,SAGA,3,"ClassificationGame, Player, ClassificationGameParticipant, ClassificationGameRound, ",0.714286,0.285714,0.407407,0.592593,0.151351,0.141732,0.313693,0.141732,0
ldod-static,RecommendationController.createSectionVirtualEdition,SAGA,4,"Citation, InfoRange, ",1.000000,0.000000,0.250000,0.750000,0.021622,0.020997,2.610166,0.020997,1
ldod-static,VirtualEditionController.deleteVirtualEdition,SAGA,2,"LdoDUser, ",0.944444,0.055556,0.055556,0.944444,0.124138,0.061433,0.799100,0.061433,0
ldod-static,VirtualEditionController.deleteVirtualEdition,SAGA,4,"SocialMediaCriteria, Citation, InfoRange, ",1.000000,0.000000,0.300000,0.700000,0.034483,0.034130,2.902713,0.034130,1
ldod-static,VirtualEditionController.deleteVirtualEdition,SAGA,1,"Member, Section, Annotation, VirtualEdition, VirtualEditionInter, Category, HumanAnnotation, Range, Tag, Taxonomy, RecommendationWeights, ",0.841270,0.158730,0.330827,0.669173,0.434483,0.453925,0.153563,0.453925,0
ldod-static,VirtualEditionController.deleteVirtualEdition,SAGA,0,"RefText, FragInter, Fragment, AnnexNote, NoteText, Source, PbText, Heteronym, LbText, LdoD, RdgText, LdoDDate, ",0.882353,0.117647,0.313726,0.686275,0.117241,0.174061,0.892584,0.174061,0
ldod-static,VirtualEditionController.deleteVirtualEdition,SAGA,3,"ClassificationGame, Player, ClassificationGameParticipant, ClassificationGameRound, ",0.714286,0.285714,0.407407,0.592593,0.289655,0.276451,0.252040,0.276451,0
ldod-static,RecommendationController.saveLinearVirtualEdition,SAGA,0,"AnnexNote, NoteText, PbText, RdgText, Edition, ExpertEdition, RefText, FragInter, Fragment, Source, Heteronym, LbText, LdoD, LdoDDate, ",0.823529,0.176471,0.358491,0.641509,0.166667,0.243119,0.789219,0.243119,0
ldod-static,RecommendationController.saveLinearVirtualEdition,SAGA,1,"Section, Annotation, VirtualEdition, VirtualEditionInter, Category, HumanAnnotation, Range, Tag, Taxonomy, ",0.860465,0.139535,0.322581,0.677419,0.421569,0.426605,0.210096,0.426605,0
ldod-static,RecommendationController.saveLinearVirtualEdition,SAGA,2,"LdoDUser, ",1.000000,0.000000,0.000000,1.000000,0.098039,0.045872,1.217110,0.045872,0
ldod-static,RecommendationController.saveLinearVirtualEdition,SAGA,3,"ClassificationGame, Player, ClassificationGameParticipant, ClassificationGameRound, ",0.714286,0.285714,0.407407,0.592593,0.274510,0.247706,0.298643,0.247706,0
ldod-static,RecommendationController.saveLinearVirtualEdition,SAGA,4,"Citation, InfoRange, ",1.000000,0.000000,0.250000,0.750000,0.039216,0.036697,2.484932,0.036697,1
ldod-static,VirtualEditionController.reorderVirtualEdition,SAGA,2,"LdoDUser, ",1.000000,0.000000,0.000000,1.000000,0.049020,0.023923,2.754350,0.023923,0
ldod-static,VirtualEditionController.reorderVirtualEdition,SAGA,3,"ClassificationGame, Player, ClassificationGameParticipant, ClassificationGameRound, ",0.714286,0.285714,0.407407,0.592593,0.137255,0.129187,0.533606,0.129187,1
ldod-static,VirtualEditionController.reorderVirtualEdition,SAGA,4,"Citation, InfoRange, ",1.000000,0.000000,0.250000,0.750000,0.019608,0.019139,0.408052,0.019139,0
ldod-static,VirtualEditionController.reorderVirtualEdition,SAGA,1,"Section, Annotation, VirtualEdition, VirtualEditionInter, Category, HumanAnnotation, Range, Tag, Taxonomy, ",0.617021,0.382979,0.510870,0.489130,0.460784,0.440191,0.487888,0.440191,0
ldod-static,VirtualEditionController.reorderVirtualEdition,SAGA,0,"AnnexNote, NoteText, NullEdition, PbText, RdgText, RefText, ExpertEdition, ExpertEditionInter, FragInter, Fragment, Source, SourceInter, Heteronym, LbText, LdoD, LdoDDate, ",0.441176,0.558824,0.691358,0.308642,0.333333,0.387560,0.816104,0.387560,0
ldod-static,AdminController.deleteFragment,SAGA,1,"Section, Annotation, VirtualEdition, VirtualEditionInter, Category, HumanAnnotation, Range, Tag, Taxonomy, ",0.800000,0.200000,0.340000,0.660000,0.362319,0.267380,0.460452,0.267380,0
ldod-static,AdminController.deleteFragment,SAGA,2,"LdoDUser, ",1.000000,0.000000,0.000000,1.000000,0.086957,0.032086,2.707456,0.032086,0
ldod-static,AdminController.deleteFragment,SAGA,3,"ClassificationGame, Player, ClassificationGameParticipant, ClassificationGameRound, ",0.714286,0.285714,0.407407,0.592593,0.202899,0.144385,0.361278,0.144385,1
ldod-static,AdminController.deleteFragment,SAGA,4,"AwareAnnotation, Citation, InfoRange, ",1.000000,0.000000,0.368421,0.631579,0.115942,0.101604,0.513075,0.101604,0
