Codebase,Feature,Orchestrator,Entities,Type,Initial System Complexity,Final System Complexity,Redesign Complexity
ldod-static,APIVirtualEditionController.getVirtualEditionIndex,0,"AddText, AltText, AltTextWeight, AnnexNote, UnclearText, AppText, DelText, Edition, ExpertEdition, ExpertEditionInter, FragInter, Fragment, GapText, LbText, LdoD, NoteText, PbText, RdgGrpText, RdgText, RefText, Rend, SegText, SimpleText, SourceInter, SpaceText, Surface, TextPortion, ",QUERY,0,0,364
ldod-static,APIVirtualEditionController.getVirtualEditionIndex,1,"Member, Section, VirtualEdition, VirtualEditionInter, Category, Taxonomy, ",QUERY,0,0,364
ldod-static,FragmentController.deleteAnnotation,3,"ClassificationGame, Player, ClassificationGameParticipant, ClassificationGameRound, ",SAGA,900,444,14
ldod-static,FragmentController.deleteAnnotation,0,"SimpleText, ",SAGA,900,443,14
ldod-static,VirtualEditionController.deleteCategory,3,"ClassificationGame, Player, ClassificationGameParticipant, ClassificationGameRound, ",SAGA,714,378,11
ldod-static,VirtualEditionController.deleteCategory,2,"LdoDUser, ",SAGA,714,439,12
ldod-static,APIVirtualEditionController.getPublicVirtualEditions4User,0,"AddText, AltText, AltTextWeight, AnnexNote, UnclearText, AppText, DelText, Edition, ExpertEdition, ExpertEditionInter, FragInter, Fragment, GapText, LbText, LdoD, NoteText, PbText, RdgGrpText, RdgText, RefText, Rend, SegText, SimpleText, SourceInter, SpaceText, Surface, TextPortion, ",QUERY,0,0,349
ldod-static,APIVirtualEditionController.getPublicVirtualEditions4User,1,"Member, Section, VirtualEdition, VirtualEditionInter, Category, Taxonomy, ",QUERY,0,0,359
ldod-static,VirtualEditionController.editVirtualEdition,4,"TimeWindow, Tweet, MediaSource, TwitterCitation, Frequency, SocialMediaCriteria, GeographicLocation, AwareAnnotation, Citation, InfoRange, ",SAGA,1488,300,114
ldod-static,VirtualEditionController.editVirtualEdition,0,"ExpertEdition, FragInter, Fragment, LdoD, Edition, ",SAGA,1488,325,145
ldod-static,VirtualEditionController.dissociate,2,"LdoDUser, ",SAGA,1570,548,16
ldod-static,VirtualEditionController.dissociate,0,"SimpleText, ",SAGA,1570,446,14
ldod-static,VirtualEditionController.mergeCategories,3,"ClassificationGame, Player, ClassificationGameParticipant, ClassificationGameRound, ",SAGA,1433,384,11
ldod-static,VirtualEditionController.mergeCategories,1,"VirtualEdition, VirtualEditionInter, Category, HumanAnnotation, Tag, Taxonomy, ",SAGA,1433,712,54
ldod-static,VirtualEditionController.createVirtualEdition,0,"ExpertEdition, ExpertEditionInter, FragInter, Fragment, NullEdition, SourceInter, Heteronym, LdoD, Edition, LdoDDate, ",SAGA,1862,496,105
ldod-static,VirtualEditionController.createVirtualEdition,2,"LdoDUser, ",SAGA,1862,441,20
ldod-static,FragmentController.updateAnnotation,3,"ClassificationGame, Player, ClassificationGameParticipant, ClassificationGameRound, ",SAGA,1127,82,101
ldod-static,FragmentController.updateAnnotation,0,"ExpertEdition, LdoD, Edition, ",SAGA,1127,85,103
ldod-static,AdminController.removeUser,0,"LdoD, ",SAGA,2430,557,19
ldod-static,AdminController.removeUser,3,"ClassificationGame, Player, ClassificationGameParticipant, ClassificationGameRound, ",SAGA,2430,632,23
ldod-static,VirtualEditionController.getEditions,2,"LdoDUser, ",QUERY,0,0,359
ldod-static,VirtualEditionController.getEditions,1,"Member, Section, VirtualEdition, VirtualEditionInter, Category, Taxonomy, ",QUERY,0,0,361
ldod-static,VirtualEditionController.associateCategory,0,"ExpertEdition, FragInter, SimpleText, LdoD, Edition, ",SAGA,2014,444,107
ldod-static,VirtualEditionController.associateCategory,3,"ClassificationGame, Player, ClassificationGameParticipant, ClassificationGameRound, ",SAGA,2014,702,182
ldod-static,RecommendationController.createLinearVirtualEdition,1,"Member, Section, VirtualEdition, VirtualEditionInter, Taxonomy, ",SAGA,2914,568,105
ldod-static,RecommendationController.createLinearVirtualEdition,0,"ExpertEdition, ExpertEditionInter, FragInter, Fragment, NullEdition, SourceInter, Heteronym, LdoD, Edition, LdoDDate, ",SAGA,2914,501,108
ldod-static,AdminController.loadVirtualFragments,3,"ClassificationGame, Player, ClassificationGameParticipant, ClassificationGameRound, ",SAGA,2516,534,56
ldod-static,AdminController.loadVirtualFragments,2,"LdoDUser, ",SAGA,2516,579,56
